id,estado,antiguedad,modalidad,value
379,Oaxaca,0.34,b.	Distancia,Selección de personal
380,México,22.0,a.	Presencial,Atención de asuntos jurídicos
381,Hidalgo,31.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
382,México,31.0,c.	Mixta,"Planeación de planes, programas y proyectos"
383,Jalisco,7.0,b.	Distancia,Administración de base de datos
384,México,31.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
385,Jalisco,31.0,b.	Distancia,Atención de asuntos jurídicos
386,Michoacán,22.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
387,Guanajuato,4.0,b.	Distancia,Administración de base de datos
388,Jalisco,13.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
389,Jalisco,17.0,c.	Mixta,Diseño de materiales de capacitación
390,Nuevo León,7.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
391,México,11.0,b.	Distancia,Depuración del padrón electoral
392,Jalisco,5.0,b.	Distancia,Administración de base de datos
393,Jalisco,14.0,a.	Presencial,Atención de asuntos jurídicos
394,Ciudad de México,7.0,b.	Distancia,Administración de centros de cómputo
395,Ciudad de México,3.0,b.	Distancia,Verificación del padrón electoral
396,Hidalgo,20.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
397,Chiapas,29.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
398,Michoacán,10.0,b.	Distancia,Selección de personal
399,México,25.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
400,México,22.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
401,Tabasco,10.0,a.	Presencial,Impartición de capacitación
402,Zacatecas,31.0,b.	Distancia,Verificación del padrón electoral
403,Tlaxcala,13.0,b.	Distancia,Procesamiento informático
404,Puebla,26.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
405,Ciudad de México,1.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
406,Michoacán,10.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
407,Chihuahua,32.0,a.	Presencial,Diseño de materiales de capacitación
408,Chihuahua,27.0,b.	Distancia,Construcción de la cartografía electoral
409,Durango,3.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
410,Tamaulipas,13.0,b.	Distancia,Depuración del padrón electoral
411,Baja California,12.0,c.	Mixta,Impartición de capacitación
412,Ciudad de México,16.0,b.	Distancia,Selección de personal
413,Chiapas,2.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
414,México,5.0,c.	Mixta,Depuración del padrón electoral
415,Ciudad de México,19.0,c.	Mixta,Administración de base de datos
416,Baja California,32.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
417,Ciudad de México,7.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
418,Ciudad de México,13.0,b.	Distancia,Procesamiento informático
419,Nayarit,22.0,c.	Mixta,Construcción de la cartografía electoral
420,Guanajuato,4.5,c.	Mixta,Diseño de materiales de capacitación
421,Guerrero,31.0,b.	Distancia,Administración de tecnología de información y comunicaciones
422,Ciudad de México,0.0,c.	Mixta,"Planeación de planes, programas y proyectos"
423,Tlaxcala,28.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
424,Jalisco,25.0,b.	Distancia,Administración de base de datos
425,Puebla,21.0,c.	Mixta,Operación de módulos de atención ciudadana
426,Ciudad de México,10.0,b.	Distancia,Depuración del padrón electoral
427,Nuevo León,32.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
428,Ciudad de México,28.0,c.	Mixta,Diseño de programas de capacitación
429,Guerrero,28.0,c.	Mixta,Depuración del padrón electoral
430,Baja California Sur,3.0,c.	Mixta,Impartición de capacitación
431,Coahuila,13.0,b.	Distancia,Depuración del padrón electoral
432,Coahuila,1.6,a.	Presencial,Aplicación de metodología estadística y/o demográfica
433,Baja California,16.0,b.	Distancia,Administración de tecnología de información y comunicaciones
434,Ciudad de México,29.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
435,Veracruz,12.0,b.	Distancia,Depuración del padrón electoral
436,Yucatán,11.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
437,Ciudad de México,27.0,b.	Distancia,Desarrollo de normativa
438,Nuevo León,32.0,c.	Mixta,Atención de asuntos jurídicos
439,Veracruz,1.5,c.	Mixta,Impartición de capacitación
440,Nuevo León,30.0,b.	Distancia,Reincorporación al padrón electoral
441,Veracruz,5.0,b.	Distancia,Administración de base de datos
442,Puebla,25.0,b.	Distancia,Construcción de la cartografía electoral
443,Michoacán,31.0,b.	Distancia,Operación de módulos de atención ciudadana
444,Tabasco,7.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
445,Ciudad de México,20.0,c.	Mixta,Construcción de la cartografía electoral
446,Guanajuato,4.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
447,Durango,30.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
448,Puebla,4.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
449,Hidalgo,1.0,c.	Mixta,Selección de personal
450,Guerrero,0.1,b.	Distancia,Diseño de materiales de capacitación
451,Guerrero,2.0,a.	Presencial,Selección de personal
452,Baja California,8.0,b.	Distancia,Impartición de capacitación
453,México,3.0,a.	Presencial,Actualización del padrón electoral y credencialización de los ciudadanos
454,Michoacán,31.0,b.	Distancia,Impartición de capacitación
455,México,11.0,c.	Mixta,Impartición de capacitación
456,Veracruz,0.5,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
457,México,31.0,c.	Mixta,Impartición de capacitación
458,Ciudad de México,1.0,c.	Mixta,Administración de base de datos
459,Colima,30.0,b.	Distancia,Diseño de materiales de capacitación
460,Ciudad de México,13.0,c.	Mixta,Atención de asuntos jurídicos
461,Ciudad de México,20.0,b.	Distancia,Administración de base de datos
462,Chihuahua,29.0,b.	Distancia,Impartición de capacitación
463,México,13.0,b.	Distancia,Fiscalización a los sujetos obligados
464,México,25.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
465,México,11.0,c.	Mixta,Selección de personal
466,Puebla,10.0,a.	Presencial,Operación de módulos de atención ciudadana
467,México,13.0,b.	Distancia,Almacenamiento de documentación y material electoral
468,Ciudad de México,17.0,b.	Distancia,Administración de base de datos
469,Guerrero,1.0,b.	Distancia,Atención de asuntos jurídicos
470,México,10.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
471,Ciudad de México,4.0,b.	Distancia,Atención de asuntos jurídicos
472,Ciudad de México,29.0,a.	Presencial,"Planeación de planes, programas y proyectos"
473,Baja California,4.0,c.	Mixta,Selección de personal
474,Oaxaca,5.0,a.	Presencial,Atención de asuntos jurídicos
475,Puebla,29.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
476,México,22.0,c.	Mixta,Administración de base de datos
477,Durango,30.0,b.	Distancia,Construcción de la cartografía electoral
478,Tamaulipas,31.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
479,Guerrero,14.0,c.	Mixta,Administración de base de datos
480,Veracruz,29.0,b.	Distancia,Impartición de capacitación
481,Veracruz,30.0,a.	Presencial,Diseño de materiales de capacitación
482,Tabasco,2.0,b.	Distancia,Selección de personal
483,Jalisco,9.0,c.	Mixta,Operación de módulos de atención ciudadana
484,Guanajuato,30.0,c.	Mixta,Atención de asuntos jurídicos
485,Chihuahua,25.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
486,México,25.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
487,Chiapas,1.0,b.	Distancia,Atención de asuntos jurídicos
488,Puebla,24.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
489,México,16.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
490,Quintana Roo,7.9,c.	Mixta,Aplicación de metodología estadística y/o demográfica
491,Tamaulipas,4.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
492,Zacatecas,7.0,c.	Mixta,Reincorporación al padrón electoral
493,Zacatecas,11.0,b.	Distancia,Selección de personal
494,México,15.0,a.	Presencial,Atención de asuntos jurídicos
495,Ciudad de México,5.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
496,Jalisco,13.0,b.	Distancia,Selección de personal
497,Ciudad de México,27.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
498,Nuevo León,1.0,a.	Presencial,Depuración del padrón electoral
499,México,13.0,b.	Distancia,Administración de base de datos
500,México,22.0,b.	Distancia,Depuración del padrón electoral
501,Michoacán,18.0,b.	Distancia,Administración de base de datos
502,Michoacán,17.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
503,Michoacán,5.0,c.	Mixta,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
504,México,6.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
505,Durango,31.0,a.	Presencial,Verificación de sesiones de los órganos desconcentrados
506,México,5.0,b.	Distancia,Diseño de materiales de capacitación
507,Michoacán,29.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
508,México,11.0,c.	Mixta,Construcción de la cartografía electoral
509,Veracruz,24.0,b.	Distancia,Diseño de programas de capacitación
510,Puebla,26.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
511,Chihuahua,0.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
512,México,25.0,b.	Distancia,Selección de personal
513,Chiapas,12.0,b.	Distancia,Desarrollo de sistemas
514,Puebla,13.0,b.	Distancia,Verificación del padrón electoral
515,Tabasco,20.0,c.	Mixta,Atención de asuntos jurídicos
516,Guanajuato,31.0,b.	Distancia,Depuración del padrón electoral
517,Puebla,15.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
518,México,9.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
519,Baja California,8.0,a.	Presencial,Selección de personal
520,México,1.0,b.	Distancia,Administración de base de datos
521,Sonora,9.0,b.	Distancia,Impartición de capacitación
522,Jalisco,22.0,b.	Distancia,Atención de asuntos jurídicos
523,México,7.0,b.	Distancia,Administración de base de datos
524,Jalisco,8.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
525,Baja California,4.0,a.	Presencial,Administración de base de datos
526,México,22.0,a.	Presencial,Impartición de capacitación
527,Chiapas,11.0,a.	Presencial,Administración de base de datos
528,Ciudad de México,1.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
529,Guanajuato,5.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
530,Nuevo León,12.0,b.	Distancia,"Planeación de planes, programas y proyectos"
531,México,22.0,b.	Distancia,Diseño de materiales de capacitación
532,Ciudad de México,1.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
533,Yucatán,11.0,b.	Distancia,Depuración del padrón electoral
534,Ciudad de México,10.0,c.	Mixta,Administración de tecnología de información y comunicaciones
535,Coahuila,1.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
536,Puebla,29.0,a.	Presencial,Selección de personal
537,Tabasco,7.0,c.	Mixta,Construcción de la cartografía electoral
538,Sonora,11.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
539,Ciudad de México,29.0,b.	Distancia,"Planeación de planes, programas y proyectos"
540,Veracruz,4.0,b.	Distancia,Fiscalización a los sujetos obligados
541,Tabasco,1.5,c.	Mixta,Construcción de la cartografía electoral
542,Campeche,20.0,c.	Mixta,Atención de asuntos jurídicos
543,Jalisco,22.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
544,Ciudad de México,10.0,a.	Presencial,Administración de tecnología de información y comunicaciones
545,Ciudad de México,1.0,b.	Distancia,Atención de asuntos jurídicos
546,Guanajuato,1.0,b.	Distancia,Diseño de programas de capacitación
547,Querétaro,7.0,b.	Distancia,Selección de personal
548,México,16.0,b.	Distancia,Almacenamiento de documentación y material electoral
549,Baja California,4.0,a.	Presencial,Construcción de la cartografía electoral
550,Sonora,25.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
551,Chiapas,31.0,b.	Distancia,Administración de base de datos
552,Ciudad de México,5.0,b.	Distancia,Administración de base de datos
553,México,13.0,b.	Distancia,Construcción de la cartografía electoral
554,Ciudad de México,1.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
555,Chihuahua,20.0,a.	Presencial,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
556,Guanajuato,17.0,b.	Distancia,Atención de asuntos jurídicos
557,Yucatán,25.0,c.	Mixta,Administración de base de datos
558,Aguascalientes,16.0,c.	Mixta,"Diseño, mejora y producción de material electoral"
559,Veracruz,7.0,c.	Mixta,"Planeación de planes, programas y proyectos"
560,Ciudad de México,29.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
561,Sinaloa,14.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
562,Nuevo León,0.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
